Details_lookup,Details Refined
Korai Boxes/With fabric -4*4 inches-210.00-7.00-1470.0,Korai Boxes/With fabric 4*4 inches-210.00-7.00-1470.0
Korai Boxes -3*3 inches-120.00-1.00-120.0,Korai Boxes 3*3 inches-120.00-1.00-120.0
Palm Boxes -5*3 inches-175.00-7.00-1225.0,Palm Boxes 5*3 inches-175.00-7.00-1225.0
Palm Trays-8*2 inches-175.00-7.00-1225.0,Palm Trays 8*2 inches-175.00-7.00-1225.0
HT-224 220g 0.0001g 80mm Dia Analytical Balance With Density Measurement Kit-119800.00-1.00-119800.0,HT 224 220g 0.0001g 80mm Dia Analytical Balance With Density Measurement Kit-119800.00-1.00-119800.0
Katran D leaf S05-1 unit-150000.00-1.00-150000.0,Katran D leaf S05 1 unit-150000.00-1.00-150000.0
Katran AWS Large-1 unit-175000.00-1.00-175000.0,Katran AWS Large 1 unit-175000.00-1.00-175000.0
"1"" pipe -25 nos-1000.00-1.00-1000.0","1"" pipe 25 nos-1000.00-1.00-1000.0"
DT-1/IMP/ NATURAL WHITE-70.00-72.00-5040.0,DT 1/IMP/ NATURAL WHITE-70.00-72.00-5040.0
Hikvision 2 MP Dome/Bullet camera DS-2CD1023G0E-I-3950.00-10.00-39500.0,Hikvision 2 MP Dome/Bullet camera DS2CD1023G0E I-3950.00-10.00-39500.0
Hikvision PTZ 2 MP DS-2DE4225IW-DE-22766.00-1.00-22766.0,Hikvision PTZ 2 MP DS2DE4225IW DE-22766.00-1.00-22766.0
1173-12 Adjustable Spanner-355.55-1.00-355.55,1173_12 Adjustable Spanner-355.55-1.00-355.55
"GTW160 Torque Wrench 50 -220NM 1/2"" Sq Dr-3181.75-1.00-3181.75","GTW160 Torque Wrench 50 220NM 1/2"" Sq Dr-3181.75-1.00-3181.75"
Hikvision 2 MP Dome/Bullet camera DS-2CD1023G0E-I-3234.00-8.00-25872.0,Hikvision 2 MP Dome/Bullet camera DS 2CD1023G0E I-3234.00-8.00-25872.0
Hikvision PTZ 2 MP DS-2DE4225IW-DE-24010.00-1.00-24010.0,Hikvision PTZ 2 MP DS 2DE4225IW DE 24010.00-1.00-24010.0
Hikvision 2 MP DS-2CD1323G0E-I Dome Camera-3185.00-1.00-3185.0,Hikvision 2 MP DS 2CD1323G0E I Dome Camera-3185.00-1.00-3185.0
Hikvision 4 Port POE DS-3E505P-E/M GIGABIT-3600.00-3.00-10800.0,Hikvision 4 Port POE DS 3E505P E/M GIGABIT-3600.00-3.00-10800.0
Hikvision 2 MP Dome/Bullet camera DS-2CD1023G0E-I-3750.00-6.00-22500.0,Hikvision 2 MP Dome/Bullet camera DS 2CD1023G0E I-3750.00-6.00-22500.0
Hikvision PTZ 2 MP DS-2DE4225IW-DE-25000.00-1.00-25000.0,Hikvision PTZ 2 MP DS 2DE4225IW DE-25000.00-1.00-25000.0
Hikvision 2 MP Dome/Bullet camera DS-2CD1023G0E-I-3700.00-1.00-3700.0,Hikvision 2 MP Dome/Bullet camera DS 2CD1023G0E I-3700.00-1.00-3700.0
Knife Uk-3 - Taparia-211.86-1.00-211.86,Knife Uk3  Taparia-211.86-1.00-211.86
"Adjustable Wrench 1173 -12"" Taparia-504.24-1.00-504.24","Adjustable Wrench 1173 12"" Taparia-504.24-1.00-504.24"
Valve VE-MPW-06-2-1 0 Y-Yuken--16000.00-1.00-16000.0,Valve VE_MPW_06_2_1 0 Y_Yuken-16000.00-1.00-16000.0
"Hikvision 2 MP Dome/Bullet camera DS-2CD1023G0E-I-3950.00-10.00-39500.0,Hikvision 16 Channel NVR-20950.00-1.00-20950.0,Hard Disk-11650.00-2.00-23300.0,POE Switch-3750.00-1.00-3750.0,POE Switch-2750.00-1.00-2750.0,CCTV Connectors-150.00-11.00-1650.0,D-Link Cat 6 Cable-65.00-350.00-22750.0,Monitor-8850.00-1.00-8850.0,Rack-2250.00-1.00-2250.0,Installation & Service Charges-450.00-10.00-4500.0,Installation & Service Charges-1500.00-1.00-1500.0,Installation & Service Charges-1500.00-1.00-1500.0,Hikvision PTZ 2 MP DS-2DE4225IW-DE-22766.00-1.00-22766.0","Hikvision 2 MP Dome/Bullet camera DS2CD1023G0EI-3950.00-10.00-39500.0,Hikvision 16 Channel NVR_20950.00-1.00-20950.0,Hard Disk-11650.00-2.00-23300.0,POE Switch-3750.00-1.00-3750.0,POE Switch-2750.00-1.00-2750.0,CCTV Connectors-150.00-11.00-1650.0,DLink Cat 6 Cable-65.00-350.00-22750.0,Monitor-8850.00-1.00-8850.0,Rack-2250.00-1.00-2250.0,Installation & Service Charges-450.00-10.00-4500.0,Installation & Service Charges-1500.00-1.00-1500.0,Installation & Service Charges-1500.00-1.00-1500.0,Hikvision PTZ 2 MP DS2DE4225IWDE-22766.00-1.00-22766.0"
